Channel Name,Subscriber Count,Total Videos,Total Views,Like Count,Comment Count,Video Posted,Video Link
CGP Grey,6630000,192,1113977705,123994,139,2025-01-28T21:45:11Z,https://www.youtube.com/watch?v=1K5oDtVAYzk&ab_channel=CGPGrey
CGP Grey,6630000,192,1113977705,12542,28,2025-01-28T21:30:08Z,https://www.youtube.com/watch?v=lk4lBV5wgGM&ab_channel=CGPGrey
