Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
National Geographic,24200000,10518,6280202858,54547,1014,38,2025-01-22T17:59:57Z,https://www.youtube.com/watch?v=WREUVldK2M8&ab_channel=NationalGeographic
National Geographic,24200000,10518,6280202858,1170339,7544,510,2025-01-19T16:00:05Z,https://www.youtube.com/watch?v=4DAuTMsOoKw&ab_channel=NationalGeographic
National Geographic,24200000,10518,6280202858,147901,1959,103,2025-01-16T16:01:00Z,https://www.youtube.com/watch?v=o7Esv2MEQLQ&ab_channel=NationalGeographic
National Geographic,24200000,10518,6280202858,12809,313,12,2025-01-14T23:14:12Z,https://www.youtube.com/watch?v=VNXcSsqWO-I&ab_channel=NationalGeographic
National Geographic,24200000,10518,6280202858,172236,769,26,2025-01-14T15:00:08Z,https://www.youtube.com/watch?v=342SPkLqeh0&ab_channel=NationalGeographic
National Geographic,24200000,10518,6280202858,1374839,14230,244,2025-01-11T16:00:14Z,https://www.youtube.com/watch?v=Dpu3XoY3wQw&ab_channel=NationalGeographic
National Geographic,24200000,10518,6280202858,457047,5889,423,2025-01-12T16:00:42Z,https://www.youtube.com/watch?v=nZ5VWmOxZwU&ab_channel=NationalGeographic
Neso Academy,2810000,2784,657156747,947,30,0,2025-02-10T13:30:31Z,https://www.youtube.com/watch?v=ZfDBINXhWXg&ab_channel=NesoAcademy
Neso Academy,2810000,2784,657156747,1442,20,3,2025-02-08T13:30:20Z,https://www.youtube.com/watch?v=bp8DsBI6Oik&ab_channel=NesoAcademy
Neso Academy,2810000,2784,657156747,1787,31,0,2025-02-06T13:30:14Z,https://www.youtube.com/watch?v=MR0PK0qkCD8&ab_channel=NesoAcademy
Neso Academy,2810000,2784,657156747,2064,42,6,2025-02-03T13:30:12Z,https://www.youtube.com/watch?v=KqBiGOdce74&ab_channel=NesoAcademy
