,Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link,time_since_posting
36,National Geographic,24200000,10557,6313286711,376976,6009,1232,2025-01-25 16:00:13,https://www.youtube.com/watch?v=8DMmkp_F25Y&ab_channel=NationalGeographic,30
37,National Geographic,24200000,10557,6313286711,78766,1233,47,2025-01-22 17:59:57,https://www.youtube.com/watch?v=WREUVldK2M8&ab_channel=NationalGeographic,33
38,National Geographic,24200000,10557,6313286711,1439191,8969,591,2025-01-19 16:00:05,https://www.youtube.com/watch?v=4DAuTMsOoKw&ab_channel=NationalGeographic,36
39,National Geographic,24200000,10557,6313286711,155795,2029,103,2025-01-16 16:01:00,https://www.youtube.com/watch?v=o7Esv2MEQLQ&ab_channel=NationalGeographic,39
40,National Geographic,24200000,10557,6313286711,13147,314,12,2025-01-14 23:14:12,https://www.youtube.com/watch?v=VNXcSsqWO-I&ab_channel=NationalGeographic,41
41,National Geographic,24200000,10557,6313286711,173337,796,26,2025-01-14 15:00:08,https://www.youtube.com/watch?v=342SPkLqeh0&ab_channel=NationalGeographic,41
42,National Geographic,24200000,10557,6313286711,1773424,17408,304,2025-01-11 16:00:14,https://www.youtube.com/watch?v=Dpu3XoY3wQw&ab_channel=NationalGeographic,44
43,National Geographic,24200000,10557,6313286711,513923,6489,453,2025-01-12 16:00:42,https://www.youtube.com/watch?v=nZ5VWmOxZwU&ab_channel=NationalGeographic,43
44,Neso Academy,2830000,2800,663408312,2382,54,3,2025-02-10 13:30:31,https://www.youtube.com/watch?v=ZfDBINXhWXg&ab_channel=NesoAcademy,14
45,Neso Academy,2830000,2800,663408312,2504,43,3,2025-02-08 13:30:20,https://www.youtube.com/watch?v=bp8DsBI6Oik&ab_channel=NesoAcademy,16
46,Neso Academy,2830000,2800,663408312,2937,48,4,2025-02-06 13:30:14,https://www.youtube.com/watch?v=MR0PK0qkCD8&ab_channel=NesoAcademy,18
47,Neso Academy,2830000,2800,663408312,3111,60,6,2025-02-03 13:30:12,https://www.youtube.com/watch?v=KqBiGOdce74&ab_channel=NesoAcademy,21
48,Neso Academy,2830000,2800,663408312,3239,64,8,2025-02-01 13:30:00,https://www.youtube.com/watch?v=-8bYtApJNos&ab_channel=NesoAcademy,23
49,Neso Academy,2830000,2800,663408312,3311,51,9,2025-01-30 14:00:30,https://www.youtube.com/watch?v=Jtai4ogSsB4&ab_channel=NesoAcademy,25
50,Neso Academy,2830000,2800,663408312,3666,70,5,2025-01-28 13:30:07,https://www.youtube.com/watch?v=CSX0OlOYWps&ab_channel=NesoAcademy,27
51,Neso Academy,2830000,2800,663408312,5691,116,18,2025-01-26 13:30:31,https://www.youtube.com/watch?v=Zqo-qNNMmdA&ab_channel=NesoAcademy,29
52,Neso Academy,2830000,2800,663408312,1895,40,8,2025-01-24 14:15:04,https://www.youtube.com/watch?v=x9o4NuBz8mM&ab_channel=NesoAcademy,31
53,Neso Academy,2830000,2800,663408312,2271,30,9,2025-01-22 13:30:21,https://www.youtube.com/watch?v=UT4ML93lKIs&ab_channel=NesoAcademy,33
54,Neso Academy,2830000,2800,663408312,2860,34,2,2025-01-20 13:30:21,https://www.youtube.com/watch?v=LxEQRIBR9IM&ab_channel=NesoAcademy,35
55,Neso Academy,2830000,2800,663408312,3530,47,1,2025-01-18 14:15:01,https://www.youtube.com/watch?v=6tmq2I3gEDU&ab_channel=NesoAcademy,37
56,Neso Academy,2830000,2800,663408312,3702,71,1,2025-01-16 13:30:38,https://www.youtube.com/watch?v=uujDdvDQsaE&ab_channel=NesoAcademy,39
57,Neso Academy,2830000,2800,663408312,3649,80,11,2025-01-14 13:30:30,https://www.youtube.com/watch?v=Zp6Eu-eWpEE&ab_channel=NesoAcademy,41
58,Neso Academy,2830000,2800,663408312,5434,89,5,2025-01-12 13:30:32,https://www.youtube.com/watch?v=lhsT7a1akao&ab_channel=NesoAcademy,43
59,DiodeGoneWild,237000,566,53127481,65347,4445,396,2025-01-29 10:59:05,https://www.youtube.com/watch?v=hXTQP4eFmf0&ab_channel=DiodeGoneWild,26
60,DiodeGoneWild,237000,566,53127481,15643,1322,98,2025-01-22 14:24:14,https://www.youtube.com/watch?v=M00cF6i1N-w&ab_channel=DiodeGoneWild,33
61,DiodeGoneWild,237000,566,53127481,21544,1822,99,2025-01-17 15:08:52,https://www.youtube.com/watch?v=M4XWi0Diazo&ab_channel=DiodeGoneWild,38
62,Science Channel,5050000,2469,1284925913,9906,310,9,2025-02-08 16:00:00,https://www.youtube.com/watch?v=-JgNSFGA84Q&ab_channel=ScienceChannel,16
63,Science Channel,5050000,2469,1284925913,39387,635,15,2025-02-01 16:01:03,https://www.youtube.com/watch?v=vNxAGznAjfs&ab_channel=ScienceChannel,23
64,Science Channel,5050000,2469,1284925913,87421,836,23,2025-02-01 16:00:32,https://www.youtube.com/watch?v=SnD3LzXCeSw&ab_channel=ScienceChannel,23
65,Science Channel,5050000,2469,1284925913,22030,442,12,2025-01-30 16:00:06,https://www.youtube.com/watch?v=6dwuD7ITwt8&ab_channel=ScienceChannel,25
66,Science Channel,5050000,2469,1284925913,16944,484,51,2025-01-29 23:00:33,https://www.youtube.com/watch?v=RB1iJufG9iU&ab_channel=ScienceChannel,26
67,Science Channel,5050000,2469,1284925913,25807,560,21,2025-01-25 16:00:50,https://www.youtube.com/watch?v=tolnNAZLtwI&ab_channel=ScienceChannel,30
68,Science Channel,5050000,2469,1284925913,143501,5111,156,2025-01-22 23:00:47,https://www.youtube.com/watch?v=lZdoUgNTE8E&ab_channel=ScienceChannel,33
69,Science Channel,5050000,2469,1284925913,15928,343,12,2025-01-22 16:00:56,https://www.youtube.com/watch?v=oO_2HIWRkiU&ab_channel=ScienceChannel,33
70,Science Channel,5050000,2469,1284925913,21830,395,19,2025-01-21 20:00:02,https://www.youtube.com/watch?v=ayfpSPjUzZY&ab_channel=ScienceChannel,34
71,Science Channel,5050000,2469,1284925913,163701,4278,207,2025-01-15 16:00:25,https://www.youtube.com/watch?v=NITLH13auIQ&ab_channel=ScienceChannel,40
72,Science Channel,5050000,2469,1284925913,71536,1151,99,2025-01-14 23:00:00,https://www.youtube.com/watch?v=a1uB6vDS-nc&ab_channel=ScienceChannel,41
73,Science Channel,5050000,2469,1284925913,23145,401,8,2025-01-13 20:00:20,https://www.youtube.com/watch?v=jeRn5ngQSok&ab_channel=ScienceChannel,42
