Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
National Geographic,24200000,10557,6313286711,78766,1233,47,2025-01-22T17:59:57Z,https://www.youtube.com/watch?v=WREUVldK2M8&ab_channel=NationalGeographic
National Geographic,24200000,10557,6313286711,1439191,8969,591,2025-01-19T16:00:05Z,https://www.youtube.com/watch?v=4DAuTMsOoKw&ab_channel=NationalGeographic
National Geographic,24200000,10557,6313286711,155795,2029,103,2025-01-16T16:01:00Z,https://www.youtube.com/watch?v=o7Esv2MEQLQ&ab_channel=NationalGeographic
National Geographic,24200000,10557,6313286711,13147,314,12,2025-01-14T23:14:12Z,https://www.youtube.com/watch?v=VNXcSsqWO-I&ab_channel=NationalGeographic
National Geographic,24200000,10557,6313286711,173337,796,26,2025-01-14T15:00:08Z,https://www.youtube.com/watch?v=342SPkLqeh0&ab_channel=NationalGeographic
National Geographic,24200000,10557,6313286711,1773424,17408,304,2025-01-11T16:00:14Z,https://www.youtube.com/watch?v=Dpu3XoY3wQw&ab_channel=NationalGeographic
National Geographic,24200000,10557,6313286711,513923,6489,453,2025-01-12T16:00:42Z,https://www.youtube.com/watch?v=nZ5VWmOxZwU&ab_channel=NationalGeographic
Neso Academy,2830000,2800,663408312,2382,54,3,2025-02-10T13:30:31Z,https://www.youtube.com/watch?v=ZfDBINXhWXg&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,2504,43,3,2025-02-08T13:30:20Z,https://www.youtube.com/watch?v=bp8DsBI6Oik&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,2937,48,4,2025-02-06T13:30:14Z,https://www.youtube.com/watch?v=MR0PK0qkCD8&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,3111,60,6,2025-02-03T13:30:12Z,https://www.youtube.com/watch?v=KqBiGOdce74&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,3239,64,8,2025-02-01T13:30:00Z,https://www.youtube.com/watch?v=-8bYtApJNos&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,3311,51,9,2025-01-30T14:00:30Z,https://www.youtube.com/watch?v=Jtai4ogSsB4&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,3666,70,5,2025-01-28T13:30:07Z,https://www.youtube.com/watch?v=CSX0OlOYWps&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,5691,116,18,2025-01-26T13:30:31Z,https://www.youtube.com/watch?v=Zqo-qNNMmdA&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,1895,40,8,2025-01-24T14:15:04Z,https://www.youtube.com/watch?v=x9o4NuBz8mM&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,2271,30,9,2025-01-22T13:30:21Z,https://www.youtube.com/watch?v=UT4ML93lKIs&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,2860,34,2,2025-01-20T13:30:21Z,https://www.youtube.com/watch?v=LxEQRIBR9IM&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,3530,47,1,2025-01-18T14:15:01Z,https://www.youtube.com/watch?v=6tmq2I3gEDU&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,3702,71,1,2025-01-16T13:30:38Z,https://www.youtube.com/watch?v=uujDdvDQsaE&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,3649,80,11,2025-01-14T13:30:30Z,https://www.youtube.com/watch?v=Zp6Eu-eWpEE&ab_channel=NesoAcademy
Neso Academy,2830000,2800,663408312,5434,89,5,2025-01-12T13:30:32Z,https://www.youtube.com/watch?v=lhsT7a1akao&ab_channel=NesoAcademy
DiodeGoneWild,237000,566,53127481,65347,4445,396,2025-01-29T10:59:05Z,https://www.youtube.com/watch?v=hXTQP4eFmf0&ab_channel=DiodeGoneWild
DiodeGoneWild,237000,566,53127481,15643,1322,98,2025-01-22T14:24:14Z,https://www.youtube.com/watch?v=M00cF6i1N-w&ab_channel=DiodeGoneWild
DiodeGoneWild,237000,566,53127481,21544,1822,99,2025-01-17T15:08:52Z,https://www.youtube.com/watch?v=M4XWi0Diazo&ab_channel=DiodeGoneWild
Science Channel,5050000,2469,1284925913,9906,310,9,2025-02-08T16:00:00Z,https://www.youtube.com/watch?v=-JgNSFGA84Q&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,39387,635,15,2025-02-01T16:01:03Z,https://www.youtube.com/watch?v=vNxAGznAjfs&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,87421,836,23,2025-02-01T16:00:32Z,https://www.youtube.com/watch?v=SnD3LzXCeSw&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,22030,442,12,2025-01-30T16:00:06Z,https://www.youtube.com/watch?v=6dwuD7ITwt8&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,16944,484,51,2025-01-29T23:00:33Z,https://www.youtube.com/watch?v=RB1iJufG9iU&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,25807,560,21,2025-01-25T16:00:50Z,https://www.youtube.com/watch?v=tolnNAZLtwI&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,143501,5111,156,2025-01-22T23:00:47Z,https://www.youtube.com/watch?v=lZdoUgNTE8E&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,15928,343,12,2025-01-22T16:00:56Z,https://www.youtube.com/watch?v=oO_2HIWRkiU&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,21830,395,19,2025-01-21T20:00:02Z,https://www.youtube.com/watch?v=ayfpSPjUzZY&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,163701,4278,207,2025-01-15T16:00:25Z,https://www.youtube.com/watch?v=NITLH13auIQ&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,71536,1151,99,2025-01-14T23:00:00Z,https://www.youtube.com/watch?v=a1uB6vDS-nc&ab_channel=ScienceChannel
Science Channel,5050000,2469,1284925913,23145,401,8,2025-01-13T20:00:20Z,https://www.youtube.com/watch?v=jeRn5ngQSok&ab_channel=ScienceChannel
Chemistry in a Nutshell,4710,70,396111,69,4,2,2025-02-05T13:56:44Z,https://www.youtube.com/watch?v=rHJ-O_xGgk0&ab_channel=ChemistryinaNutshell
CGP Grey,6660000,193,1125112498,"2,105,590",134980,145,2025-01-28T21:45:11Z,https://www.youtube.com/watch?v=1K5oDtVAYzk&ab_channel=CGPGrey
CGP Grey,6660000,193,1125112498,"300,633",13610,28,2025-01-28T21:30:08Z,https://www.youtube.com/watch?v=lk4lBV5wgGM&ab_channel=CGPGrey
Khan Academy,8810000,8633,2153192649,6487,199,0,2025-02-05T08:00:48Z,https://www.youtube.com/watch?v=thXilnp5UNQ&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,5173,128,0,2025-02-03T17:58:51Z,https://www.youtube.com/watch?v=NcrsPIv6NdI&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,7334,180,0,2025-01-29T08:00:03Z,https://www.youtube.com/watch?v=36nlbUdRvUM&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,11651,298,0,2025-01-22T08:00:15Z,https://www.youtube.com/watch?v=Jg3Fo4WD8XE&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,11450,221,11,2025-01-17T17:46:30Z,https://www.youtube.com/watch?v=t4ODg51XNYk&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,6075,96,15,2025-01-15T16:23:47Z,https://www.youtube.com/watch?v=kFmtXeKPId4&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,2138,34,0,2025-01-15T13:24:11Z,https://www.youtube.com/watch?v=fS3TOHnUwdw&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,2125,39,0,2025-01-15T13:23:18Z,https://www.youtube.com/watch?v=pq36jdgmuzw&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,3576,62,0,2025-01-15T13:23:15Z,https://www.youtube.com/watch?v=hVlFzfHc3t0&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,1621,34,0,2025-01-15T13:22:44Z,https://www.youtube.com/watch?v=N8P_IjvzGPY&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,5647,137,0,2025-01-15T08:00:28Z,https://www.youtube.com/watch?v=KyBgxe-rU48&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,3064,51,4,2025-01-14T22:38:51Z,https://www.youtube.com/watch?v=ClwmqcEewRc&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,2047,34,0,2025-01-14T22:06:28Z,https://www.youtube.com/watch?v=Oa0u7ZsRhOw&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,2445,49,0,2025-01-14T22:06:24Z,https://www.youtube.com/watch?v=ikw1-ZWf8qw&ab_channel=KhanAcademy
Khan Academy,8810000,8633,2153192649,2074,53,0,2025-01-14T22:03:14Z,https://www.youtube.com/watch?v=xUbgRHeCOyY&ab_channel=KhanAcademy
